service_id,vehicle_id,customer_id,service_date,service_type,service_cost
SR0969,V0969,C0969,2024-04-07,Oil Change,10674
SR0970,V0970,C0970,2025-07-10,Oil Change,13364
SR0971,V0971,C0971,2024-12-02,General Service,13759
SR0972,V0972,C0972,2025-05-27,Full Service,14699
SR0973,V0973,C0973,2024-02-10,General Service,10114
SR0974,V0974,C0974,2024-10-17,AC Service,5886
SR0975,V0975,C0975,2023-10-23,AC Service,11476
SR0976,V0976,C0976,2024-02-26,Oil Change,14196
SR0977,V0977,C0977,2025-03-27,General Service,13379
SR0978,V0978,C0978,2024-07-11,General Service,2440
SR0979,V0979,C0979,2023-12-23,AC Service,14654
SR0980,V0980,C0980,2023-09-03,AC Service,2509
SR0981,V0981,C0981,2023-08-04,AC Service,3978
SR0982,V0982,C0982,2023-10-15,Full Service,10181
SR0983,V0983,C0983,2025-03-25,Wheel Alignment,2539
SR0984,V0984,C0984,2024-02-05,Wheel Alignment,12073
SR0985,V0985,C0985,2025-07-28,Brake Service,6528
SR0986,V0986,C0986,2024-07-25,Wheel Alignment,5557
SR0987,V0987,C0987,2025-05-02,General Service,2971
SR0988,V0988,C0988,2023-12-13,AC Service,13149
SR0989,V0989,C0989,2024-02-29,AC Service,6590
SR0990,V0990,C0990,2024-04-07,Brake Service,12800
SR0991,V0991,C0991,2025-05-16,Oil Change,5990
SR0992,V0992,C0992,2023-03-05,Wheel Alignment,2096
SR0993,V0993,C0993,2025-01-13,Oil Change,5294
SR0994,V0994,C0994,2025-03-31,Brake Service,11846
SR0995,V0995,C0995,2024-04-17,Brake Service,1636
SR0996,V0996,C0996,2024-02-17,AC Service,12961
SR0997,V0997,C0997,2023-10-30,Brake Service,2038
SR0998,V0998,C0998,2025-03-22,Full Service,4204
SR0999,V0999,C0999,2024-04-15,Wheel Alignment,11919
SR1000,V1000,C1000,2025-09-23,AC Service,4016
